customer_id,first_name,last_name
1,Michael,P.
2,Shawn,M.
3,Ava,Stone
4,Liam,Brooks
5,Noah,Reed
6,Emma,Hayes
7,Olivia,Cole
8,Elijah,Price
9,Sophia,Bell
10,James,Ward
11,Isabella,Gray
12,Benjamin,Cruz
13,Mia,Foster
14,Lucas,Perry
15,Charlotte,Powell
16,Henry,Long
17,Amelia,Patterson
18,Alexander,Hughes
19,Harper,Washington
20,Mason,Butler
21,Evelyn,Simmons
22,Michael,Bryant
23,Abigail,Griffin
24,Ethan,Russell
25,Emily,Diaz
26,Daniel,Hayes
27,Elizabeth,Myers
28,Jacob,Ford
29,Avery,Hamilton
30,Logan,Graham
31,Sofia,Sullivan
32,Jackson,Wallace
33,Ella,Woods
34,Levi,West
35,Scarlett,Jordan
36,Sebastian,Owens
37,Grace,Reynolds
38,Mateo,Fisher
39,Chloe,Ellis
40,Jack,Harrison
41,Victoria,Gibson
42,Owen,Mcdaniel
43,Riley,Hart
44,Theodore,Hunt
45,Aria,Freeman
46,Aiden,Webb
47,Lily,Tucker
48,Samuel,Bishop
49,Zoey,Burns
50,David,Henry
51,Nora,Crawford
52,Joseph,Boyd

101,Michelle,B.
102,Faith,L.
